,0,1,label,0_left,1_left
16821,1,45,1,0,36
16837,1,71,1,0,52
16869,1,94,1,0,84
17070,1,328,1,0,285
33724,2,121,1,1,119
33739,2,155,1,1,134
33795,2,217,1,1,190
50810,3,395,1,2,385
67432,4,189,1,3,187
101163,6,330,1,5,278
118002,7,328,1,6,297
118068,7,415,1,6,363
621,100000,667,1,0,659
654,100000,972,1,0,692
1891,100000,3815,1,0,1958
3748,100000,3820,1,0,3819
4585,100000,4713,1,0,4676
5559,100000,5719,1,0,5682
6536,100000,6716,1,0,6699
7442,100000,7724,1,0,7708
8309,100000,8731,1,0,8719
9186,100000,9754,1,0,9708
10052,100000,10800,1,0,10632
10213,100000,10802,1,0,10801
10219,100000,10827,1,0,10808
10238,100000,10861,1,0,10828
10318,100000,10911,1,0,10910
10320,100000,10913,1,0,10912
10398,100000,11061,1,0,10991
10538,100000,11135,1,0,11134
10541,100000,11298,1,0,11137
10717,100000,11314,1,0,11313
10719,100000,11320,1,0,11315
10726,100000,11330,1,0,11323
10735,100000,12043,1,0,11332
11455,100000,12101,1,0,12079
11510,100000,12136,1,0,12134
11513,100000,12142,1,0,12137
11522,100000,12149,1,0,12146
11635,100000,12261,1,0,12260
11642,100000,12268,1,0,12267
11644,100000,12270,1,0,12269
11648,100000,12274,1,0,12273
12087,100000,12779,1,0,12731
13056,100000,13772,1,0,13760
14814,100000,15735,1,0,15716
14849,100000,15783,1,0,15751
15737,100000,17088,1,0,17085
